Temperature (K),Pressure (MPa),T_critical_distance,P_critical_distance,Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
513.15,90.0,209.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,6.006
533.15,90.0,229.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,8.074
293.15,120.0,-10.98,112.62,0.0,0.0,0.0,0.0,0.0,0.0,2.433
313.15,120.0,9.02,112.62,0.0,0.0,0.0,0.0,0.0,0.0,2.148
333.15,120.0,29.02,112.62,0.0,0.0,0.0,0.0,0.0,0.0,2.028
353.15,120.0,49.02,112.62,0.0,0.0,0.0,0.0,0.0,0.0,2.04
373.15,120.0,69.02,112.62,0.0,0.0,0.0,0.0,0.0,0.0,2.143
393.15,120.0,89.02,112.62,0.0,0.0,0.0,0.0,0.0,0.0,2.314
413.15,120.0,109.02,112.62,0.0,0.0,0.0,0.0,0.0,0.0,2.577
433.15,120.0,129.02,112.62,0.0,0.0,0.0,0.0,0.0,0.0,2.959
453.15,120.0,149.02,112.62,0.0,0.0,0.0,0.0,0.0,0.0,3.526
473.15,120.0,169.02,112.62,0.0,0.0,0.0,0.0,0.0,0.0,4.201
493.15,120.0,189.02,112.62,0.0,0.0,0.0,0.0,0.0,0.0,5.281
513.15,120.0,209.02,112.62,0.0,0.0,0.0,0.0,0.0,0.0,7.016
533.15,120.0,229.02,112.62,0.0,0.0,0.0,0.0,0.0,0.0,9.768
323.1,2.06,18.97,-5.32,0.0,0.0,0.0,0.0,0.0,0.0,0.357542254826357
323.1,5.1,18.97,-2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.799573724769168
323.1,10.53,18.97,3.15,0.0,0.0,0.0,0.0,0.0,0.0,1.13282520534269
323.1,14.2,18.97,6.82,0.0,0.0,0.0,0.0,0.0,0.0,1.21385705121842
323.1,20.2,18.97,12.82,0.0,0.0,0.0,0.0,0.0,0.0,1.28930878532966
373.1,5.05,68.97,-2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.442008504171109
373.1,10.08,68.97,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.765323111152039
373.1,19.47,68.97,12.09,0.0,0.0,0.0,0.0,0.0,0.0,1.13860551560569
323.1,5.1,18.97,-2.28,1.0,0.0,0.0,0.0,0.0,1.0,0.623059590642017
323.1,10.03,18.97,2.65,1.0,0.0,0.0,0.0,0.0,1.0,0.925516810709017
323.1,14.38,18.97,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.00020289177819
323.1,20.24,18.97,12.86,1.0,0.0,0.0,0.0,0.0,1.0,1.0232230111197
373.1,5.07,68.97,-2.31,1.0,0.0,0.0,0.0,0.0,1.0,0.335060976228121
373.1,10.4,68.97,3.02,1.0,0.0,0.0,0.0,0.0,1.0,0.628736319470136
373.1,19.14,68.97,11.76,1.0,0.0,0.0,0.0,0.0,1.0,0.908309588875751
323.1,5.0,18.97,-2.38,3.0,0.0,0.0,0.0,0.0,3.0,0.464575991744352
323.1,10.04,18.97,2.66,3.0,0.0,0.0,0.0,0.0,3.0,0.640093222440248
323.1,14.41,18.97,7.03,3.0,0.0,0.0,0.0,0.0,3.0,0.696946734271183
