Temperature (K),Pressure (MPa),Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
359.09,3.4281287249999997,2.3945,0.0,0.0,0.0,0.0,2.3945,0.23917
359.09,4.44188535,2.3945,0.0,0.0,0.0,0.0,2.3945,0.29976
359.09,5.40123045,2.3945,0.0,0.0,0.0,0.0,2.3945,0.35254
359.09,6.3080891999999995,2.3945,0.0,0.0,0.0,0.0,2.3945,0.3985
359.09,7.165298699999999,2.3945,0.0,0.0,0.0,0.0,2.3945,0.43854
359.09,7.976405325,2.3945,0.0,0.0,0.0,0.0,2.3945,0.47348
359.09,8.745056775,2.3945,0.0,0.0,0.0,0.0,2.3945,0.50407
359.09,9.475812675,2.3945,0.0,0.0,0.0,0.0,2.3945,0.53096
359.09,10.17303,2.3945,0.0,0.0,0.0,0.0,2.3945,0.55473
359.09,10.841775,2.3945,0.0,0.0,0.0,0.0,2.3945,0.57587
359.09,11.48721525,2.3945,0.0,0.0,0.0,0.0,2.3945,0.59482
359.09,12.114417,2.3945,0.0,0.0,0.0,0.0,2.3945,0.61195
359.09,12.72945975,2.3945,0.0,0.0,0.0,0.0,2.3945,0.62758
359.09,13.336396500000001,2.3945,0.0,0.0,0.0,0.0,2.3945,0.64199
359.09,13.94130675,2.3945,0.0,0.0,0.0,0.0,2.3945,0.65541
359.09,14.55027,2.3945,0.0,0.0,0.0,0.0,2.3945,0.66804
359.09,15.1683525,2.3945,0.0,0.0,0.0,0.0,2.3945,0.68007
359.09,15.802647,2.3945,0.0,0.0,0.0,0.0,2.3945,0.69164
359.09,16.45821975,2.3945,0.0,0.0,0.0,0.0,2.3945,0.70288
359.09,17.1421635,2.3945,0.0,0.0,0.0,0.0,2.3945,0.7139
359.09,17.86055775,2.3945,0.0,0.0,0.0,0.0,2.3945,0.72481
359.09,18.62049525,2.3945,0.0,0.0,0.0,0.0,2.3945,0.73568
359.09,19.430082,2.3945,0.0,0.0,0.0,0.0,2.3945,0.74659
359.09,20.29438425,2.3945,0.0,0.0,0.0,0.0,2.3945,0.75761
359.09,21.22454775,2.3945,0.0,0.0,0.0,0.0,2.3945,0.7688
359.09,22.226652,2.3945,0.0,0.0,0.0,0.0,2.3945,0.78022
359.09,23.3108295,2.3945,0.0,0.0,0.0,0.0,2.3945,0.79189
359.09,24.486199499999998,2.3945,0.0,0.0,0.0,0.0,2.3945,0.80388
359.09,25.762894499999998,2.3945,0.0,0.0,0.0,0.0,2.3945,0.81621
359.09,27.1530735,2.3945,0.0,0.0,0.0,0.0,2.3945,0.82892
359.09,28.66788225,2.3945,0.0,0.0,0.0,0.0,2.3945,0.84205
